latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Anas strepera|Schnatterente|Anade Friso|Gargönd|Knarand|kopřivka obecná|harmaasorsa|Canapiglia|オカヨシガモ|Krakeend|Snadderand|krakwa|Frisada|Серая утка|kačica chripľavka|Snatterand|赤膀鸭
Anas falcata|Sichelente|Cerceta de Alfanjes|Sigðönd|Segland|čírka srpoperá|sirppisorsa|Anatra falcata|ヨシガモ|Bronskopeend|Sibirand|czuprynka|Marrequinha-de-foice|Косатка|kačica kosierkavá|Praktand|罗纹鸭
Anas penelope|Pfeifente|Silbón Europeo|Rauðhöfðaönd|Pibeand|hvízdák eurasijský|haapana|Fischione europeo|ヒドリガモ|Smient|Brunnakke|świstun|Piadeira|Свиязь|kačica hvizdárka|Bläsand|赤颈鸭
Anas americana|Nordamerikanische Pfeifente|Silbón Americano|Ljóshöfðaönd|Amerikansk Pibeand|hvízdák americký|amerikanhaapana|Fischione americano|アメリカヒドリ|Amerikaanse Smient|Amerikablesand|swistun amerykanski|Piadeira-americana|Американская свиязь|kačica bielohlavá|Amerikansk bläsand|绿眉鸭
Anas rubripes|Dunkelente|Anade Sombrío|Brúnönd|Sortbrun And|kachna tmavá|nokisorsa|Anatra zamperosse|アメリカガモ|Amerikaanse Zwarte Eend|Rødfotand|brazówka|Pato-escuro-americano|Американская чёрная кряква|kačica černastá|Svartand|北美黑鸭
Anas platyrhynchos|Stockente|Ánade Real|Stokkönd|Gråand|kachna divoká|sinisorsa|Germano reale|マガモ|Wilde Eend|Stokkand|krzyżówka|Pato-real|Кряква|kačica divá|Gräsand|绿头鸭
Anas discors|Blauflügelente|Cerceta Aliazul|Bláönd|Blåvinget And|čírka modrokřídlá|sinisiipitavi|Anatra aliazzurre americana|ミカヅキシマアジ|Blauwvleugeltaling|Blåvingeand|cyranka modroskrzydła|Pato-d'asa-azul|Голубокрылый чирок|kačica modrokrídla|Blåvingad årta|蓝翅鸭
Anas cyanoptera|Zimtente|Cerceta Colorada||Kaneland|čírka skořicová|punatavi|Anatra color cannella|アカシマアジ|Kaneeltaling|Kaneland|cynamonka|Pato-canela|Коричневый чирок|kačica škoricová|Kanelårta|桂红鸭
Anas clypeata|Löffelente|Cuchara Común|Skeiðönd|Skeand|lžičák pestrý|lapasorsa|Mestolone comune|ハシビロガモ|Slobeend|Skjeand|płaskonos|Pato-trombeteiro|Широконоска|kačica lyžičiarka|Skedand|琵嘴鸭
Anas acuta|Spießente|Ánade Rabudo|Grafönd|Spidsand|ostralka štíhlá|jouhisorsa|Codone comune|オナガガモ|Pijlstaart|Stjertand|rożeniec|Arrabio|Шилохвость|kačica ostrochvostá|Stjärtand|针尾鸭
Anas querquedula|Knäkente|Cerceta Carretona|Taumönd|Atlingand|čírka modrá|heinätavi|Marzaiola|シマアジ|Zomertaling|Knekkand|cyranka|Marreco|Чирок-трескунок|kačica chrapačka|Årta|白眉鸭
Anas formosa|Gluckente|Cerceta del Baikal|Kvakönd|Sibirisk Krikand|čírka sibiřská|siperiantavi|Alzavola asiatica|トモエガモ|Siberische Taling|Gulkinnand|cyraneczka bajkalska|Pato de Baikal|Чирок-клоктун|kačica pestrá|Gulkindad kricka|花脸鸭
Anas crecca|Krickente|Cerceta Común|Urtönd|Krikand|čírka obecná|tavi|Alzavola comune|コガモ|Wintertaling|Krikkand|cyraneczka|Marrequinha-comum|Чирок-свистунок|kačica chrapka|Kricka|绿翅鸭
Marmaronetta angustirostris|Marmelente|Cerceta Pardilla|Dropönd|Marmorand|čírka úzkozobá|marmorisorsa|Carganella marmorizzata|ウスユキガモ|Marmereend|Marmorand|marmurka|Pardilheira|Мраморный чирок|kačka úzkozobá|Marmorand|云石斑鸭
Netta rufina|Kolbenente|Pato Colorado|Kólfönd|Rødhovedet And|zrzohlávka rudozobá|punapäänarsku|Fistione turco|アカハシハジロ|Krooneend|Rødhodeand|hełmiatka|Pato-de-bico-vermelho|Красноносый нырок|hrdzavka potápavá|Rödhuvad dykand|赤嘴潜鸭
Aythya valisineria|Riesentafelente|Porrón Coacoxtle|Dúkönd|Stor Taffeland|polák dlouhozobý|isopunasotka|Moriglione dorsobianco|オオホシハジロ|Grote Tafeleend|Kanvasand|glowienka dlugodzioba||Длинноносый красноголовый нырок|chochlačka veľká|Svartnäbbad brunand|帆背潜鸭
Aythya americana|Rotkopfente|Porrón Americano|Kollönd|Amerikansk Taffeland|polák americký|amerikanpunasotka|Moriglione americano|アメリカホシハジロ|Amerikaanse Tafeleend|Kobberhodeand|glowienka preriowa|Zarro-americano|Американский красноголовый нырок|chochlačka žltooká|Amerikansk brunand|美洲潜鸭
Aythya ferina|Tafelente|Porrón Europeo|Skutulönd|Taffeland|polák velký|punasotka|Moriglione eurasiatico|ホシハジロ|Tafeleend|Taffeland|głowienka|Zarro-comum|Красноголовый нырок|chochlačka sivá|Brunand|红头潜鸭
