latin|allemand|espagnol|islandais|danois|tchèque|finnois|italien|japonais|néerlandais|norvégien|polonais|portugais|russe|slovaque|suédois|chinois
Chlamydotis macqueenii|Asiatische Kragentrappe|Avutarda Oriental||Østlig Kravetrappe|drop obojkový|idänkaulustrappi|Ubara asiatica|サバクフサエリショウノガン|Oostelijke Kraagtrap|Steppetrappe|hubara arabska||Джек|drop hrivnatý|Kragtrapp|波斑鸨
Tetrax tetrax|Zwergtrappe|Sisón Común|Dvergdoðra|Dværgtrappe|drop malý|pikkutrappi|Gallina prataiola|ヒメノガン|Kleine Trap|Dvergtrappe|strepet|Sisão|Стрепет|drop malý|Småtrapp|小鸨
||||||||||||||||
Crex crex|Wachtelkönig|Guión de Codornices|Engirella|Engsnarre|chřástal polní|ruisrääkkä|Re di quaglie|ウズラクイナ|Kwartelkoning|Åkerrikse|derkacz|Codornizão|Обыкновенный коростель|chrapkáč poľný|Kornknarr|长脚秧鸡
Rallus limicola|Virginiaralle|Rascón de Virginia||Mudderrikse|chřástal virginský|amerikanluhtakana|Porciglione della Virginia|コオニクイナ|Virginiaral|Grynterikse|wodnik blotny||Центральноамериканский пастушок|chriašteľ hnedý|Virginiarall|弗吉尼亚秧鸡
Rallus aquaticus|Wasserralle|Rascón Europeo|Keldusvín|Vandrikse|chřástal vodní|luhtakana|Porciglione comune|クイナ|Waterral|Vannrikse|wodnik|Frango-d'água|Пастушок|chriašteľ vodný|Vattenrall|普通秧鸡
Crecopsis egregia|Steppensumpfhuhn|Guión Africano||Græsrikse|chřástal africký|afrikanrääkkä|Schiribilla africana|アフリカウズラクイナ|Afrikaanse Kwartelkoning|Gressrikse|derkacz kureczkowaty|Codornizão-africano|Африканский коростель|chrapkáč hnedý|Afrikansk kornknarr|非洲秧鸡
Amaurornis flavirostra|Mohrensumpfhuhn|Polluela Negra Africana|Sótrella|Sort Rørvagtel|chřástal žlutozobý|mustahuitti|Schiribilla nera africana|アフリカクロクイナ|Zwart Porseleinhoen|Svartrikse|kureczka czarna|Franga-d'água-preta|Африканский чёрный пастушок|chriašť mníšsky|Korprall|黑苦恶鸟
Porzana parva|Kleines Sumpfhuhn|Polluela Bastarda|Flóðrella|Lille Rørvagtel|chřástal malý|pikkuhuitti|Schiribilla|コクイナ|Klein Waterhoen|Sumprikse|zielonka|Franga-d'água-bastarda|Малый погоныш|chriašť malý|Mindre sumphöna|姬田鸡
Porzana pusilla|Zwergsumpfhuhn|Polluela Chica|Dvergrella|Dværgrørvagtel|chřástal nejmenší|kääpiöhuitti|Schiribilla grigiata|ヒメクイナ|Kleinst Waterhoen|Dvergrikse|karliczka|Franga-d'água-pequena|Погоныш-крошка|chriašť najmenší|Dvärgsumphöna|小田鸡
Porzana porzana|Tüpfelsumpfhuhn|Polluela Pintoja|Dílarella|Plettet Rørvagtel|chřástal kropenatý|luhtahuitti|Voltolino|コモンクイナ|Porseleinhoen|Myrrikse|kropiatka|Franga-d'água-grande|Погоныш|chriašť bodkovaný|Småfläckig sumphöna|斑胸田鸡
Porzana carolina|Carolinasumpfhuhn|Polluela Sora|Sorarella|Sorarørvagtel|chřástal karolínský|amerikanhuitti|Voltolino americano|カオグロクイナ|Soraral|Maskerikse|kureczka karolinska|Franga-d'água-americana|Каролинский погоныш|chriašť čiernobradý|Karolinasumphöna|黑脸田鸡
Aenigmatolimnas marginalis|Graukehl-Sumpfhuhn|Polluela Culirroja|Rákarella|Stribet Rørvagtel|chřástal žíhaný|viiruhuitti|Schiribilla striata|チャバラヒメクイナ|Afrikaans Porseleinhoen|Striperikse|kureczka kreskowana|Franga-d'água-estriada|Полосатый погоныш|chriašť pásikavý|Rostgumpad sumphöna|斑纹田鸡
Porphyrio porphyrio|Purpurhuhn|Calamón Común|Bláhæna|Sultanhøne|slípka modrá|sulttaanikana|Pollo sultano|セイケイ|Purperkoet|Sultanhøne|modrzyk|Caimão|Султанка|sultánka modrá|Purpurhöna|紫水鸡
Porphyrio alleni|Bronzesultanshuhn|Calamoncillo Africano|Reyrhæna|Lille Sultanhøne|slípka Allenova|kurnuliejukana|Pollo sultano di Allen|アフリカムラサキバン|Afrikaans Purperhoen|Afrikapurpurhøne|sultanka afrykanska|Caimão de Allen|Бронзовая султанка|sultánka belasočelá|Mindre sultanhöna|辉青水鸡
Porphyrio martinica|Zwergsultanshuhn|Calamoncillo Americano|Flóðhæna|Amerikansk Sultanhøne|slípka žlutonohá|siniliejukana|Pollo sultano della Martinica|アメリカムラサキバン|Amerikaans Purperhoen|Amerikapurpurhøne|sultanka amerykanska|Galinha-d'água-azul|Малая султанка|sultánka indigová|Amerikansk sultanhöna|紫青水鸡
Gallinula chloropus|Teichhuhn|Gallineta Común||Grønbenet Rørhøne|Slípka zelenonohá|Liejukana|Gallinella d'acqua|バン|Waterhoen|Sivhøne|kokoszka (zwyczajna)||Камышница|sliepočka vodná|Rörhöna|黑水鸡
Gallinula galeata|Amerikanisches Teichhuhn|Tagüita del norte|||||||||kokoszka amerykańska|||sliepočka nahana||黑水鸡
Gallinula angulata|Zwergteichhuhn|Gallineta Chica||Lille Rørhøne|slípka drobná|pikkuliejukana|Gallinella d'acqua minore|ヒメバン|Afrikaans Waterhoen|Dvergsivhøne|kokoszka mala|Galinha-d'água-pequena|Камышница-крошка|sliepočka malá|Mindre rörhöna|小黑水鸡
Fulica cristata|Kammbläßhuhn|Focha Moruna|Hnúðhæna|Kamblishøne|lyska hřebenatá|kruununokikana|Folaga cristata|アフリカオオバン|Knobbelmeerkoet|Knoppsothøne|lyska czubata|Galeirão-de-crista|Хохлатая лысуха|lyska hrebenatá|Kamsothöna|红瘤白骨顶
Fulica atra|Bläßhuhn|Focha Común|Bleshæna|Blishøne|lyska černá|nokikana|Folaga|オオバン|Meerkoet|Sothøne|łyska|Galeirão-comum|Лысуха|lyska čierna|Sothöna|白骨顶
Fulica americana|Amerikanisches Bläßhuhn|Focha Americana|Kolhæna|Amerikansk Blishøne|lyska americká|amerikannokikana|Folaga americana|アメリカオオバン|Amerikaanse Meerkoet|Amerikasothøne|lyska amerykanska|Galeirão-americano|Американская лысуха|lyska popolavá|Amerikansk sothöna|美洲骨顶
||||||||||||||||
Anthropoides virgo|Jungfernkranich|Grulla Damisela|Lokkatrana|Jomfrutrane|jeřáb panenský|neitokurki|Damigella di Numidia|アネハヅル|Jufferkraanvogel|Jomfrutrane|żuraw stepowy|Grou-pequeno|Журавль-красавка|žeriav stepný|Jungfrutrana|蓑羽鹤
Grus leucogeranus|Schneekranich|Grulla Siberiana|Snjótrana|Snetrane|jeřáb bílý|lumikurki|Gru siberiana|ソデグロヅル|Siberische Witte Kraanvogel|Snøtrane|zuraw bialy|Grou-branco|Стерх|žeriav biely|Snötrana|白鹤
Grus canadensis|Kanadakranich|Grulla Canadiense|Mótrana|Prærietrane|jeřáb kanadský|hietakurki|Gru canadese|カナダヅル|Canadese Kraanvogel|Kanadatrane|zuraw kanadyjski|Grou do Canadá|Канадский журавль|žeriav plavokrký|Prärietrana|沙丘鹤
Grus grus|Kranich|Grulla Común|Grátrana|Trane|jeřáb popelavý|kurki|Gru cenerina|クロヅル|Kraanvogel|Trane|żuraw|Grou-comum|Серый журавль|žeriav popolavý|Trana|灰鹤
Grus monacha|Mönchskranich|Grulla Monje||Hættetrane|jeřáb kápový|munkkikurki|Gru monaca|ナベヅル|Monnikskraanvogel|Hvithodetrane|zuraw bialoglowy||Чёрный журавль|žeriav čierny|Munktrana|白头鹤
||||||||||||||||
Burhinus oedicnemus|Triel|Alcaraván Común|Tríll|Triel|dytík úhorní|paksujalka|Occhione comune|イシチドリ|Griel|Triel|kulon|Alcaravão|Авдотка|ležiak úhorový|Tjockfot|石鸻
||||||||||||||||
Vanellus vanellus|Kiebitz|Avefría Europea|Vepja|Vibe|čejka chocholatá|töyhtöhyyppä|Pavoncella paleartica|タゲリ|Kievit|Vipe|czajka|Abibe-comum|Чибис|cíbik chochlatý|Tofsvipa|凤头麦鸡
Vanellus spinosus|Spornkiebitz|Avefría Espinosa|Broddvepja|Sporevibe|čejka trnitá|kynsihyyppä|Pavoncella armata|ツバメゲリ|Sporenkievit|Sporevipe|czajka szponiasta|Abibe-esporado|Шпорцевый чибис|cíbik tŕňokrídly|Sporrvipa|黑胸距翅麦鸡
Vanellus gregarius|Steppenkiebitz|Avefría Sociable|Steppuvepja|Steppevibe|keptuška stepní|arohyyppä|Pavoncella gregaria|マミヒロゲリ|Steppekievit|Steppevipe|czajka towarzyska|Abibe-sociável|Кречётка|cíbik stepný|Stäppvipa|黄颊麦鸡
Vanellus leucurus|Weißschwanzkiebitz|Avefría Coliblanca|Flóavepja|Sumpvibe|keptuška běloocasá|suohyyppä|Pavoncella codabianca|オジロゲリ|Witstaartkievit|Sumpvipe|czajka stepowa|Abibe-de-cauda-branca|Белохвостая пигалица|cíbik bielochvostý|Sumpvipa|白尾麦鸡
Pluvialis squatarola|Kiebitzregenpfeifer|Chorlito Gris|Grálóa|Strandhjejle|kulík bledý|tundrakurmitsa|Pivieressa|ダイゼン|Zilverplevier|Tundralo|siewnica|Tarambola-cinzenta|Тулес|kulík bledý|Kustpipare|灰鸻
Pluvialis apricaria|Goldregenpfeifer|Chorlito Dorado Europeo|Heiðlóa|Hjejle|kulík zlatý|kapustarinta|Piviere dorato|ヨアロッパムナグロ|Goudplevier|Heilo|siewka złota|Tarambola-dourada|Золотистая ржанка|kulík zlatý|Ljungpipare|欧亚金鸻
Pluvialis dominica|Amerikanischer Goldregenpfeifer|Chorlito Dorado Americano|Gulllóa|Amerikansk Hjejle|kulík hnědokřídlý|amerikankurmitsa|Piviere dorato minore|ムナグロ|Amerikaanse Goudplevier|Kanadalo|siewka szara|Tarambola-dourada-pequena|Американская бурокрылая ржанка|kulík hnedokrídly|Amerikansk tundrapipare|美洲金鸻
Pluvialis fulva|Pazifischer Goldregenpfeifer|Chorlito Dorado Siberiano|Glitlóa|Sibirisk Hjejle|kulík pacifický|siperiankurmitsa|Piviere dorato del Pacifico|アジアムナグロ|Aziatische Goudplevier|Sibirlo|siewka złotawa|Batuirucu|Азиатская бурокрылая ржанка|kulík krátkochvostý|Sibirisk tundrapipare|金鸻
Charadrius mongolus|Mongolenregenpfeifer|Chorlitejo Mongol Chico|Hjarðlóa|Mongolsk Præstekrave|kulík menší|ylänkötylli|Corriere della Mongolia|メダイチドリ|Mongoolse Plevier|Mongollo|sieweczka mongolska|Borrelho-mongol|Монгольский зуёк|kulík krátkozobý|Mongolpipare|蒙古沙鸻
Charadrius leschenaultii|Wüstenregenpfeifer|Chorlitejo Mongol Grande|Auðnalóa|Ørkenpræstekrave|kulík větší|aavikkotylli|Piviere di Leschenault|オオメダイチドリ|Woestijnplevier|Ørkenlo|sieweczka pustynna|Borrelho-mongol-grande|Большеклювый зуёк|kulík veľkozobý|Ökenpipare|铁嘴沙鸻
Charadrius asiaticus|Wermutregenpfeifer|Chorlito Asiático Chico|Leirlóa|Kaspisk Præstekrave|kulík kaspický|kaspiantylli|Corriere asiatico|ニシオオチドリ|Kaspische Plevier|Rødbrystlo|sieweczka dlugonoga|Borrelho asiatico|Каспийский зуёк|kulík palinový|Kaspisk pipare|红胸鸻
Charadrius pecuarius|Hirtenregenpfeifer|Chorlitejo Pecuario|Fitjalóa|Kittlitz Præstekrave|kulík africký|afrikantylli|Corriere di Kittlitz|ヒメチドリ|Herdersplevier|Kittlitzlo|sieweczka piaskowa|Borrelho de Kittli|Зуёк-пастух|kulík pastiersky|Kittlitzstrandpipare|基氏沙鸻
Charadrius alexandrinus|Eurasiatischer Seeregenpfeifer|Chorlitejo patinegro|Strandlóa|Hvidbrystet Præstekrave|kulík mořský|mustajalkatylli|Fratino eurasiatico|シロチドリ|Strandplevier|Hvitbrystlo|sieweczka morska|Borrelho-de-coleira-interrompida|Морской зуёк|kulík morský|Svartbent strandpipare|环颈鸻
Charadrius hiaticula|Sandregenpfeifer|Chorlitejo Grande|Sandlóa|Stor Præstekrave|kulík písečný|tylli|Corriere grosso|ハジロコチドリ|Bontbekplevier|Sandlo|sieweczka obrożna|Borrelho-grande-de-coleira|Галстучник|kulík piesočný|Större strandpipare|剑鸻
Charadrius semipalmatus|Amerikanischer Sandregenpfeifer|Chorlitejo Semipalmeado|Kvöldlóa|Amerikansk Præstekrave|kulík kanadský|kanadantylli|Corriere semipalmato|ミカズキチドリ|Amerikaanse Bontbekplevier|Amerikasandlo|sieweczka skapopletwa|Borrelho-semipalmado|Перепончатопалый галстучник|kulík poloblanistý|Flikstrandpipare|半蹼鸻
Charadrius dubius|Flußregenpfeifer|Chorlitejo Chico|Vatnalóa|Lille Præstekrave|kulík říční|pikkutylli|Corriere piccolo|コチドリ|Kleine Plevier|Dverglo|sieweczka rzeczna|Borrelho-pequeno-de-coleira|Малый зуёк|kulík riečny|Mindre strandpipare|金眶鸻
Charadrius vociferus|Keilschwanz-Regenpfeifer|Chorlitejo Culirrojo|Skræklóa|Kildire|kulík rezavoocasý|amerikantylli|Corriere americano|フタオビチドリ|Killdeerplevier|Tobeltelo|sieweczka krzykliwa|Borrelho-de-dupla-coleira|Крикливый зуёк|kulík krikľavý|Skrikstrandpipare|双领鸻
Charadrius veredus|Steppenregenpfeifer|Chorlito Asiático Grande||Gobipræstekrave|kulík rezavoprský|gobintylli|Corriere pettocastano|オオチドリ|Steppeplevier|Steppelo|sieweczka stepowa||Восточный зуёк|kulík podkovár|Orientpipare|东方鸻
Charadrius morinellus|Mornellregenpfeifer|Chorlito Carambolo|Fjalllóa|Pomeransfugl|kulík hnědý|keräkurmitsa|Piviere tortolino eurasiatico|コバシチドリ|Morinelplevier|Boltit|mornel|Borrelho-ruivo|Хрустан|kulík vrchovský|Fjällpipare|小嘴鸻
||||||||||||||||
Haematopus ostralegus|Austernfischer|Ostrero Euroasiático|Tjaldur|Strandskade|ústřičník velký|meriharakka|Beccaccia di mare paleartica|ミヤコドリ|Scholekster|Tjeld|ostrygojad|Ostraceiro|Кулик-сорока|lastúrničiar strakatý|Strandskata|蛎鹬
Haematopus moquini|Schwarzer Austernfischer|Ostrero Negro Africano|Eyjatjaldur|Afrikansk Strandskade|ústřičník jihoafrický|mustameriharakka|Beccaccia di mare nera africana|カナリアクロミヤコドリ|Afrikaanse Zwarte Scholekster|Kappsvarttjeld|ostrygojad afrykanski|Ostraceiro das Canárias|Африканский кулик-сорока|lastúrničiar havraní|Kapstrandskata|非洲黑蛎鹬
Haematopus meadewaldoi|Kanarischer Austernfischer|Ostrero Negro Canario|Eyjatjaldur|Kanarisk Strandskade|ústřičník kanárský|kanarianmeriharakka|Beccaccia di mare delle Isole Canarie|カナリアクロミヤコドリ|Canarische Scholekster|Kanarisvarttjeld|ostrygojad kanaryjski|Ostraceiro das Canárias|Канарский чёрный кулик-сорока|lastúrničiar kanársky|Kanariestrandskata|坎岛蛎鹬
||||||||||||||||
Himantopus himantopus|Stelzenläufer|Cigüeñuela de Alas Negras|Háleggur|Stylteløber|pisila čáponohá|pitkäjalka|Cavaliere d'Italia|セイタカシギ|Steltkluut|Stylteløper|szczudłak|Pernilongo|Ходулочник|šišila bocianovitá|Styltlöpare|黑翅长脚鹬
Recurvirostra avosetta|Säbelschnäbler|Avoceta Común|Bjúgnefja|Klyde|tenkozobec opačný|avosetti|Avocetta bianca e nera|ソリハシセイタカシギ|Kluut|Avosett|szablodziób|Alfaiate|Шилоклювка|šabliarka modronohá|Skärfläcka|反嘴鹬
Recurvirostra americana|Braunhals-Säbelschnäbler|Avoceta Americana||Amerikansk Klyde|tenkozobec americký|preeria-avosetti|Avocetta americana|アメリカソリハシセイタカシギ|Noordamerikaanse Kluut|Amerikaavosett|szablodziób amerykanski||Американская шилоютювка|šabliarka žltokrká|Amerikansk skärfläcka|褐胸反嘴鹬
||||||||||||||||
Xenus cinereus|Terekwasserläufer|Andarríos del Terek|Bjúgstelkur|Terekklire|vodouš malý|rantakurvi|Piro-piro terek|ソリハシシギ|Terekruiter|Tereksnipe|terekia|Maçarico-sovela|Мородунка|brodník sivý|Tereksnäppa|翘嘴鹬
Actitis hypoleucos|Flußuferläufer|Andarríos Chico|Lindastelkur|Mudderklire|pisík obecný|rantasipi|Piro-piro piccolo|イソシギ|Oeverloper|Strandsnipe|brodziec piskliwy|Maçarico-das-rochas|Перевозчик|kalužiačik malý|Drillsnäppa|矶鹬
Actitis macularius|Drosseluferläufer|Andarríos Maculado|Dílastelkur|Plettet Mudderklire|oisík americký|amerikansipi|Piro-piro macchiato|アメリカイソシギ|Amerikaanse Oeverloper|Flekksnipe|brodziec plamisty|Maçarico-maculado|Пятнистый перевозчик|kalužiačik škvrnitý|Fläckdrillsnäppa|斑腹矶鹬
Tringa ochropus|Waldwasserläufer|Andarríos Grande|Trjástelkur|Svaleklire|vodouš kropenatý|metsäviklo|Piro-piro culbianco|クサシギ|Witgat|Skogsnipe|samotnik|Pássaro-bique-bique|Черныш|kalužiak perlavý|Skogssnäppa|白腰草鹬
Tringa solitaria|Einsamer Wasserläufer|Andarríos Solitario|Svölustelkur|Amerikansk Svaleklire|vodouš samotářský|amerikanmetsäviklo|Piro-piro solitario|コシグロクサシギ|Amerikaanse Bosruiter|Eremittsnipe|brodziec ciemnorzytny|Maçarico-solitário|Улит-отшельник|kalužiak samotársky|Amerikansk skogssnäppa|褐腰草鹬
Tringa brevipes|Grauschwanz-Wasserläufer|Playero Siberiano|Grástelkur|Sibirisk Gråklire|vodouš říční|taigaviklo|Piro-piro asiatico|キアシシギ|Siberische Grijze Ruiter|Sibirvandresnipe|brodziec szary|Maçarico-cinzento|Пепельный улит|kalužiak krátkonohý|Sibirisk gråsnäppa|灰尾漂鹬
Tringa erythropus|Dunkler Wasserläufer|Archibebe Oscuro|Sótstelkur|Sortklire|vodouš tmavý|mustaviklo|Totano moro|ツルシギ|Zwarte Ruiter|Sotsnipe|brodziec śniady|Perna-vermelha-escuro|Щеголь|kalužiak tmavý|Svartsnäppa|鹤鹬
Tringa melanoleuca|Großer Gelbschenkel|Archibebe Patigualdo Grande|Mosastelkur|Stor Gulben|vodouš velký|amerikanviklo|Totano zampegialle maggiore|オオキアシシギ|Grote Geelpootruiter|Plystresnipe|brodziec piegowaty|Perna-amarela-grande|Пёстрый улит|kalužiak jarabý|Större gulbena|大黄脚鹬
Tringa nebularia|Grünschenkel|Archibebe Claro|Lyngstelkur|Hvidklire|vodouš šedý|valkoviklo|Pantana comune|アオアシシギ|Groenpootruiter|Gluttsnipe|kwokacz|Perna-verde-comum|Большой улит|kalužiak sivý|Gluttsnäppa|青脚鹬
Tringa semipalmata|Schlammtreter|Playero Aliblanco|Fjörustelkur|Willet|vodouš břehoušovitý|preeriaviklo|Totano semipalmato|ハジロオオシギ|Willet|Willetsnipe|blotowiec|Maçarico-de-asa-branca|Перепончатопалый улит|kalužiak bahenný|Willetsnäppa|斑翅鹬
Tringa flavipes|Kleiner Gelbschenkel|Archibebe Patigualdo Chico|Hrísastelkur|Gulben|vodouš žlutonohý|keltajalkaviklo|Totano zampegialle minore|コキアシシギ|Kleine Geelpootruiter|Gulbeinsnipe|brodziec żółtonogi|Perna-amarela-pequeno|Желтоногий улит|kalužiak žltonohý|Mindre gulbena|小黄脚鹬
Tringa stagnatilis|Teichwasserläufer|Archibebe Fino|Vatnastelkur|Damklire|vodouš štíhlý|lampiviklo|Albastrello|コアオアシシギ|Poelruiter|Damsnipe|brodziec pławny|Perna-verde-fino|Поручейник|kalužiak štíhly|Dammsnäppa|泽鹬
Tringa glareola|Bruchwasserläufer|Andarríos Bastardo|Flóastelkur|Tinksmed|vodouš bahenní|liro|Piro-piro boschereccio|タカブシギ|Bosruiter|Grønnstilk|łęczak|Maçarico-bastardo|Фифи|kalužiak močiarny|Grönbena|林鹬
Tringa totanus|Rotschenkel|Archibebe Común|Stelkur|Rødben|vodouš rudonohý|punajalkaviklo|Pettegola|アカアシシギ|Tureluur|Rødstilk|krwawodziób|Perna-vermelha-comum|Травник|kalužiak červenonohý|Rödbena|红脚鹬
Bartramia longicauda|Prärieläufer|Correlimos Batitú|Sléttulæpa|Bartramsklire|bartramie dlouhoocasá|preeriakahlaaja|Piro-piro codalunga|マキバシギ|Bartrams Ruiter|Præriesnipe|preriowiec|Maçarico-do-campo|Бартрамия|bartrámia dlhochvostá|Piparsnäppa|高原鹬
Numenius minutus|Zwergbrachvogel|Zarapito Chico|Dvergspói|Dværgspove|koliha nejmenší|taigakuovi|Chiurlo minore|コシャクシギ|Kleine Regenwulp|Dvergspove|kulik krótkodzioby|Maçarico-anão|Кроншнеп-малютка|hvizdák najmenší|Dvärgspov|小杓鹬
Numenius borealis|Eskimobrachvogel|Zarapito Esquimal|Norðspói|Eskimospove|koliha severní|eskimokuovi|Chiurlo boreale|エスキモアコシャクシギ|Eskimowulp|Eskimospove|kulik eskimoski|Maçarico-esquimó|Эскимосский кроншнеп|hvizdák krátkozobý|Eskimåspov|极北杓鹬
Numenius phaeopus|Regenbrachvogel|Zarapito Trinador|Spói|Småspove|koliha malá|pikkukuovi|Chiurlo piccolo|チュウシャクシギ|Regenwulp|Småspove|kulik mniejszy|Maçarico-galego|Средний кроншнеп|hvizdák malý|Småspov|中杓鹬
Numenius tenuirostris|Dünnschnabel-Brachvogel|Zarapito Fino|Dílaspói|Tyndnæbbet Spove|koliha tenkozobá|kaitanokkakuovi|Chiurlottello|シロハラチュウシャクシギ|Dunbekwulp|Smalnebbspove|kulik cienkodzioby|Maçarico-de-bico-fino|Тонкоклювый кроншнеп|hvizdák tenkozobý|Smalnäbbad spov|细嘴杓鹬
Numenius arquata|Großer Brachvogel|Zarapito Real|Fjöruspói|Storspove|koliha velká|kuovi|Chiurlo maggiore|ダイシャクシギ|Wulp|Storspove|kulik wielki|Maçarico-real|Большой кроншнеп|hvizdák veľký|Storspov|白腰杓鹬
Limosa limosa|Uferschnepfe|Aguja Colinegra|Jaðrakan|Stor Kobbersneppe|břehouš černoocasý|mustapyrstökuiri|Pittima reale|オグロシギ|Grutto|Svarthalespove|rycyk|Maçarico-de-bico-direito|Большой веретенник|brehár čiernochvostý|Rödspov|黑尾塍鹬
Limosa haemastica|Hudsonschnepfe|Aguja Café|Mýrajaðrakan|Canadisk Kobbersneppe|břehouš aljašský|eskimokuiri|Pittima di Hudson|アメリカオグロシギ|Rode Grutto|Svartvingespove|szlamnik amerykanski|Macaricao de bico virado|Канадский веретенник|brehár jarabý|Hudsonspov|棕塍鹬
Limosa lapponica|Pfuhlschnepfe|Aguja Colipinta|Lappajaðrakan|Lille Kobbersneppe|břehouš rudý|punakuiri|Pittima minore|オオソリハシシギ|Rosse Grutto|Lappspove|szlamnik|Fuselo|Малый веретенник|brehár hrdzavý|Myrspov|斑尾塍鹬
Arenaria interpres|Steinwälzer|Vuelvepiedras Común|Tildra|Stenvender|kamenáček pestrý|karikukko|Voltapietre|キョウジョシギ|Steenloper|Steinvender|kamusznik|Rola-do-mar|Камнешарка|kamenár strakatý|Roskarl|翻石鹬
Calidris tenuirostris|Großer Knutt|Correlimos Grande|Grátíta|Storryle|jespák velký|vuorisirri|Piovanello beccosottile|オバシギ|Grote Kanoet|Sibirsnipe|biegus wielki||Большой песочник|pobrežník tenkozobý|Kolymasnäppa|大滨鹬
Calidris canutus|Knutt|Correlimos Gordo|Rauðbrystingur|Islandsk Ryle|jespák rezavý|isosirri|Pivanello maggiore|コオバシギ|Kanoet|Polarsnipe|biegus rdzawy|Seixoeira|Исландский песочник|pobrežník hrdzavý|Kustsnäppa|红腹滨鹬
Calidris alba|Sanderling|Correlimos Tridáctilo|Sanderla|Sandløber|jespák písečný|pulmussirri|Piovanello tridattilo|ミユビシギ|Drieteenstrandloper|Sandløper|piaskowiec|Pilrito-sanderlingo|Песчанка|pobrežník belavý|Sandlöpare|三趾滨鹬
Calidris pusilla|Sandstrandläufer|Correlimos Semipalmeado|Fitjatíta|Tyknæbbet Dværgryle|jespák srostloprstý|kanadansirri|Piro-piro semipalmato|ヒレアシトウネン|Grijze Strandloper|Sandsnipe|biegus tundrowy|Pilrito-semipalmado|Берингийский песочник|pobrežník piesočný|Sandsnäppa|半蹼滨鹬
Calidris mauri|Bergstrandläufer|Correlimos de Alaska|Hólmatíta|Alaskaryle|jespák aljašský|tundrasirri|Piro-piro occidentale|ヒメハマシギ|Alaskastrandloper|Beringsnipe|biegus alaskanski|Pilrito de Maur|Перепончатопалый песочник|pobrežník aljašský|Tundrasnäppa|西滨鹬
Calidris ruficollis|Rotkehl-Strandläufer|Correlimos Cuellirrojo|Roðatíta|Rødhalset Ryle|jespák rudokrký|rusokaulasirri|Gambecchio collorosso|トウネン|Roodkeelstrandloper|Rødstrupesnipe|biegus rdzawoszyi|Pilrito-de-pescoço-ruivo|Малый песочник|pobrežník červenokrký|Rödhalsad snäppa|红颈滨鹬
Calidris minuta|Zwergstrandläufer|Correlimos Menudo|Veimiltíta|Dværgryle|jespák malý|pikkusirri|Gambecchio comune|ニシトウネン|Kleine Strandloper|Dvergsnipe|biegus malutki|Pilrito-pequeno|Кулик-воробей|pobrežník malý|Småsnäppa|小滨鹬
Calidris temminckii|Temminckstrandläufer|Correlimos de Temminck|Bakkatíta|Temmincksryle|jespák šedý|lapinsirri|Gambecchio nano|オジロトウネン|Temmincks Strandloper|Temmincksnipe|biegus mały|Pilrito de Temminck|Белохвостый песочник|pobrežník sivý|Mosnäppa|青脚滨鹬
Calidris subminuta|Langzehen-Strandläufer|Correlimos Dedilargo|Sportíta|Langtået Ryle|jespák dlouhoprstý|siperiansirri|Gambecchio minore|ヒバリシギ|Taigastrandloper|Langtåsnipe|biegus smuklonogi|Pilrito-de-dedos-compridos|Длиннопалый песочник|pobrežník dlhoprstý|Långtåsnäppa|长趾滨鹬
Calidris minutilla|Wiesenstrandläufer|Correlimos Menudillo|Mærutíta|Amerikansk Dværgryle|jespák drobný|amerikansirri|Piro-piro americano|アメリカヒバリシギ|Kleinste Strandloper|Pygmésnipe|biegus karłowaty|Pilrito-anão|Песочник-крошка|pobrežník najmenší|Dvärgsnäppa|美洲小滨鹬
Calidris fuscicollis|Weißbürzel-Strandläufer|Correlimos Culiblanco|Vaðlatíta|Hvidrygget Ryle|jespák tundrový|valkoperäsirri|Piro-piro dorsobianco|コシジロウズラシギ|Bonapartes Strandloper|Bonapartesnipe|biegus białorzytny|Macarico de rabadilha branca|Бонапартов песочник|pobrežník tmavý|Vitgumpsnäppa|白腰滨鹬
Calidris bairdii|Bairdstrandläufer|Correlimos de Baird|Leirutíta|Bairdsryle|jespák dlouhokřídlý|eskimosirri|Gambecchio di Baird|ヒメウズラシギ|Bairds Strandloper|Gulbrystsnipe|biegus długoskrzydły|Pilrito de Baird|Бэрдов песочник|pobrežník plavý|Gulbröstad snäppa|白腹滨鹬
Calidris melanotos|Graubrust-Strandläufer|Correlimos Pectoral|Rákatíta|Stribet Ryle|jespák skvrnitý|palsasirri|Piro-piro pettorale|アメリカウズラシギ|Gestreepte Strandloper|Alaskasnipe|biegus arktyczny|Pilrito-peitoral|Дутыш|pobrežník škvrnitý|Tuvsnäppa|斑胸滨鹬
Calidris acuminata|Spitzschwanz-Strandläufer|Correlimos Acuminado|Ósatíta|Spidshalet Ryle|jespák klínoocasý|suippopyrstösirri|Piro-piro siberiano|ウズラシギ|Siberische Strandloper|Spisshalesnipe|biegus ostrosterny|Pilrito-acuminado|Острохвостый песочник|pobrežník ostrochvostý|Spetsstjärtad snäppa|尖尾滨鹬
Calidris maritima|Meerstrandläufer|Correlimos Oscuro|Sendlingur|Sortgrå Ryle|jespák mořský|merisirri|Piovanello violetto|ムラサキハマシギ|Paarse Strandloper|Fjæreplytt|biegus morski|Pilrito-escuro|Морской песочник|pobrežník morský|Skärsnäppa|紫滨鹬
