|Latin Name|Greek name|English Name
334|Acrocephalus melanopogon          |Ψαθοποταμίδα            |Moustached Warbler
335|Acrocephalus paludicola           |Νεροποταμίδα                |Aquatic Warbler
336|Acrocephalus schoenobaenus        |Σχοινοποταμίδα              |Sedge Warbler
337|Acrocephalus scirpaceus           |Καλαμοποταμίδα             |European Reed Warbler
338|Acrocephalus palustris            |Βαλτοποταμίδα               |Marsh Warbler
339|Acrocephalus agricola             |Λευκόφρυδη Ποταμίδα             |Paddyfield Warbler
340|Acrocephalus arundinaceus         |Τσιχλοποταμίδα              |Great Reed Warbler
341|Hippolais pallida                 |Ωχροστριτσίδα               |Eastern Olivaceous Warbler
342|Hippolais caligata                |Θαμνοστριτσίδα              |Booted Warbler
343|Hippolais olivetorum              |Λιοστριτσίδα               |Olive-tree Warbler
344|Hippolais icterina                |Κιτρινοστριτσίδα           |Icterine Warbler
345|Hippolais polyglotta              |Ορφεοστριτσίδα              |Melodious Warbler
346|Sylvia atricapilla                |Μαυροσκούφης               |Blackcap
347|Sylvia borin                      |Κηποτσιροβάκος              |Garden Warbler
348|Sylvia nisoria                    |Γερακοτσιροβάκος             |Barred Warbler
349|Sylvia curruca                    |Βουνοτσιροβάκος              |Lesser Whitethroat
350|Sylvia crassirostris                  |Μελωδοτσιροβάκος            |Eastern Orphean Warbler
351|Sylvia communis                   |Θαμνοτσιροβάκος            |Common Whitethroat
352|Sylvia conspicillata              |Καστανοτσιροβάκος           |Spectacled Warbler
353|Sylvia undata                     |Ρεικοτσιροβάκος         |Dartford Warbler
354|Sylvia sarda                      |Μολυβοτσιροβάκος             |Marmora's Warbler
355|Sylvia cantillans                 |Κοκκινοτσιροβάκος           |Subalpine Warbler
356|Sylvia melanocephala              |Μαυροτσιροβάκος            |Sardinian Warbler
357|Sylvia rueppelli                  |Αιγαιοτσιροβάκος         |Rüppell's Warbler
358|Phylloscopus trochiloides|Πρασινοφυλλοσκόπος         |Greenish Warbler
359|Phylloscopus borealis             |Χιονοφυλλοσκόπος            |Arctic Warbler
360|Phylloscopus inornatus            |Κιτρινόφρυδος Φυλλοσκόπος          |Yellow-browed Warbler
361|Phylloscopus fuscatus             |Σκουροφυλλοσκόπος         |Dusky Warbler
362|Phylloscopus orientalis              |Βουνοφυλλοσκόπος            |Balkan Warbler
363|Phylloscopus sibilatrix           |Δασοφυλλοσκόπος            |Wood Warbler
364|Phylloscopus collybita            |Δεντροφυλλοσκόπος           |Common Chiffchaff
365|Phylloscopus trochilus            |Θαμνοφυλλοσκόπος           |Willow Warbler
366|Regulus regulus                   |Χρυσοβασιλίσκος             |Goldcrest
367|Regulus ignicapilla         |Πυροβασιλίσκος             |Firecrest
|Muscicapidae||
368|Muscicapa dauurica                |Καστανομυγοχάφτης          |Asian Brown Flycatcher
369|Muscicapa striata                 |Σταχτομυγοχάφτης            |Spotted Flycatcher
370|Ficedula parva                    |Νανομυγοχάφτης             |Red-breasted Flycatcher
371|Ficedula semitorquata             |Δρυομυγοχάφτης              |Semi-collared Flycatcher
372|Ficedula albicollis               |Κρικομυγοχάφτης           |Collared Flycatcher
373|Ficedula hypoleuca                |Μαυρομυγοχάφτης             |Pied Flycatcher
|Timaliidae||
374|Panurus biarmicus                 |Μουστακαλής                 |Bearded Tit
|Aegithalidae||
375|Aegithalos caudatus               |Αιγίθαλος                  |Long-tailed Tit
|Paridae||
376|Parus palustris                   |Καστανοπαπαδίτσα            |Marsh Tit
377|Parus lugubris                    |Κλειδωνάς                   |Sombre Tit
378|Parus montanus                    |Βουνοπαπαδίτσα            |Willow Tit
379|Parus cristatus                   |Λοφιοπαπαδίτσα             |Crested Tit
380|Parus ater                        |Ελατοπαπαδίτσα             |Coal Tit
381|Parus caeruleus                   |Γαλαζοπαπαδίτσα             |Blue Tit
382|Parus major                       |Καλόγερος                   |Great Tit
|Sittidae||
383|Sitta krueperi                    |Τουρκοτσοπανάκος           |Krüper's Nuthatch
384|Sitta europaea                    |Δεντροτσοπανάκος          |Eurasian Nuthatch
385|Sitta neumayer                    |(Δυτικός) Βραχοτσοπανάκος            |Western Rock Nuthatch
|Tichodromadidae||
386|Tichodroma muraria                |Τοιχοδρόμος                  |Wallcreeper
|Certhiidae||
387|Certhia familiaris                |Βουνοδεντροβάτης          |Eurasian Treecreeper
388|Certhia brachydactyla             |Καμποδεντροβάτης            |Short-toed Treecreeper
|Remizidae||
389|Remiz pendulinus                  |Υφάντρα            |Eurasian Penduline Tit
|Oriolidae||
390|Oriolus oriolus                   |(Ευρωπαϊκός) Συκοφάγος                   |Eurasian Golden Oriole
|Laniidae||
391|Lanius isabellinus                |Ξανθοκεφαλάς  |Isabelline Shrike
392|Lanius collurio                   |Αετομάχος                  |Red-backed Shrike
393|Lanius minor                      |Σταχτοκεφαλάς             |Lesser Grey Shrike
394|Lanius excubitor                  |Διπλοκεφαλάς               |Great Grey Shrike
395|Lanius meridionalis|Διπλοκεφαλάς της Μεσογείου|Southern Grey Shrike
396|Lanius senator                    |Κοκκινοκεφαλάς             |Woodchat Shrike
397|Lanius nubicus                    |Παρδαλοκεφαλάς              |Masked Shrike
|Corvidae||
398|Garrulus glandarius               |(Ευρωπαϊκή) Κίσσα                       |Eurasian Jay
399|Pica pica                         |(Κοινή) Καρακάξα                    |Common Magpie
400|Nucifraga caryocatactes           |Καρυοθραύστης              |Spotted Nutcracker
401|Pyrrhocorax graculus              |Κιτρινοκαλιακούδα           |Alpine Chough
402|Pyrrhocorax pyrrhocorax           |Κοκκινοκαλιακούδα          |Red-billed Chough
403|Corvus monedula                   |(Ευρωπαϊκή) Κάργια                       |Western Jackdaw
404|Corvus frugilegus                 |Χαβαρόνι                   |Rook
405|Corvus corone                     |(Σταχτιά) Κουρούνα              |Hooded Crow
406|Corvus corax                      |(Κοινός) Κόρακας                     |Common Raven
|Sturnidae||
407|Sturnus vulgaris                  |(Ευρωπαϊκό) Ψαρόνι                      |Common Starling
408|Sturnus unicolor                  |Μαυροψάρονο                |Spotless Starling
409|Sturnus roseus                    |Αγιοπούλι                   |Rosy Starling
|Passeridae||
410|Passer domesticus                 |Σπιτοσπουργίτης            |House Sparrow
411|Passer hispaniolensis             |Χωραφοσπουργίτης           |Spanish Sparrow
412|Passer moabiticus                 |Μεσανατολικός Σπουργίτης   |Dead Sea Sparrow
413|Passer montanus                   |Δεντροσπουργίτης            |Eurasian Tree Sparrow
414|Petronia petronia                 |Πετροσπουργίτης             |Rock Sparrow
415|Montifringilla nivalis            |(Κοινός) Χιονόστρουθος               |White-winged Snowfinch
|Fringillidae||
416|Fringilla coelebs                 |(Κοινός) Σπίνος                      |Common Chaffinch
417|Fringilla montifringilla          |Χειμωνόσπινος               |Brambling
418|Serinus pusillus                  |Μαύρο Καναρίνι             |Red-fronted Serin
419|Serinus serinus                   |Σκαρθάκι                    |European Serin
420|Carduelis chloris                 |(Ευρωπαϊκός) Φλώρος                      |European Greenfinch
421|Carduelis carduelis               |(Κοινή) Καρδερίνα                   |European Goldfinch
422|Carduelis spinus                  |(Κοινό) Λούγαρο                    |European Siskin
423|Carduelis cannabina               |(Κοινό) Φανέτο                      |Common Linnet
424|Loxia curvirostra                 |(Κοινός) Σταυρομύτης                 |Common Crossbill
425|Bucanetes githagineus             |Ερημοπύρρουλας              |Trumpeter Finch
426|Carpodacus erythrinus             |(Κοινή) Ροδόσπιζα                  |Common Rosefinch
427|Pyrrhula pyrrhula                 |(Κοινός) Πύρρουλας                   |Eurasian Bullfinch
428|Coccothraustes coccothraustes     |(Ευρωπαϊκός) Κοκκοθραύστης                 |Hawfinch
|Emberizidae||
429|Plectrophenax nivalis|Χιονοτσίχλονο                  |Snow Bunting
430|Emberiza leucocephalos            |Ελατοτσίχλονο              |Pine Bunting
431|Emberiza citrinella               |Χρυσοτσίχλονο               |Yellowhammer
432|Emberiza cirlus                   |Σιρλοτσίχλονο              |Cirl Bunting
433|Emberiza cia                      |Βουνοτσίχλονο               |Rock Bunting
434|Emberiza cineracea                |Σμυρνοτσίχλονο              |Cinereous Bunting
435|Emberiza hortulana                |Βλαχοτσίχλονο                      |Ortolan Bunting
436|Emberiza caesia                   |Φρυγανοτσίχλονο                |Cretzschmar's Bunting
437|Emberiza rustica                  |Βαλτοτσίχλονο                |Rustic Bunting
438|Emberiza pusilla                  |Νανοτσίχλονο               |Little Bunting
439|Emberiza aureola                  |Σημυδοτσίχλονο          |Yellow-breasted Bunting
440|Emberiza schoeniclus              |(Μεγάλο) Καλαμοτσίχλονο           |Common Reed Bunting
441|Emberiza melanocephala            |Αμπελουργός                |Black-headed Bunting
442|Emberiza calandra                 |Τσιφτάς              |Corn Bunting
443|Aquila fasciata|Σπιζαετός|Bonelli's Eagle
444|Coloeus monedula|(Ευρωπαϊκή) Κάργια |Eurasian Jackdaw
445|Phalacrocorax pygmaeus|Λαγγόνα |Pygmy Cormorant
446|Pastor roseus|Αγιοπούλι |Rosy Starling
447|Fulica cristata|Φαλαρίδα|Red-knobbed Coot
448|Tetrastes bonasia| Δασόκοτα |Hazel Grouse
449|Ichthyaetus audouinii|Αιγαιόγλαρος |Audouin's Gull
450|Tachybaptus ruficollis|(Κοκκινόλαιμο) Νανοβουτηχτάρι |Little Grebe
451|Anthropoides virgo|Νυφογερανός                 |Demoiselle Crane
452|Mergellus albellus|Νανοπρίστης|Smew
453|Cecropis daurica|Μιλτοχελίδονο |Red-rumped Swallow
454|Tachymarptis melba|Βουνοσταχτάρα               |Alpine Swift
455|Apus unicolor|(Κοινή) Σταχτάρα |Plain Swift
456|Cyanistes caeruleus|Γαλαζοπαπαδίτσα |Blue Tit
457|Poecile montanus|Βουνοπαπαδίτσα            |Willow Tit
458|Lophophanes cristatus|Λοφιοπαπαδίτσα             |Crested Tit
459|Poecile lugubris|Κλειδωνάς                   |Sombre Tit
460|Periparus ater|Ελατοπαπαδίτσα             |Coal Tit
461|Poecile palustris|Καστανοπαπαδίτσα            |Marsh Tit
462|Ichthyaetus melanocephalus|Μαυροκέφαλος Γλάρος |Mediterranean Gull
463|Hydrocoloeus minutus|Νανόγλαρος |Little Gull
464|Chroicocephalus ridibundus|Καστανοκέφαλος Γλάρος |Black-headed Gull
465|Hydroprogne caspia|Καρατζάς                    |Caspian Tern
466|Thalasseus sandvicensis|Χειμωνογλάρονο              |Sandwich Tern
467|Gelochelidon nilotica|Γελογλάρονο|Gull-billed Tern
468|Sternula albifrons|(Ευρωπαϊκό) Νανογλάρονο|Little Tern
469|Lyrurus tetrix|Λυροπετεινός               |Black Grouse
470|Chloris chloris|(Ευρωπαϊκός) Φλώρος |European Greenfinch
